Time,Trip Time,Lost Packets,Voltage,roboRIO CPU,CAN,DS Disabled,DS Auto,DS Tele,Robot Disabled,Robot Auto,Robot Tele,Brownout,Watchdog,
19:43:47.919,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:47.939,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:47.959,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:47.979,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:47.999,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.019,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.039,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.059,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.079,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.099,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.119,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.139,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.159,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.179,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.199,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.219,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.239,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.259,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.279,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.299,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.319,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.339,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.359,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.379,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.399,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.419,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.439,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.459,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.479,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.499,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.519,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.539,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.559,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.579,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.599,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.619,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.639,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.659,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.679,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.699,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.719,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.739,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.759,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.779,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.799,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.819,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.839,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.859,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.879,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.899,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.919,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.939,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.959,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.979,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:48.999,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.019,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.039,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.059,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.079,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.099,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.119,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.139,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
19:43:49.159,127.5,1,255.99609375,0,0,True,False,False,False,False,False,False,False,
